beginning,end,species,site,year
50,49.3,CEVE,Chaparral,2012
50,49.3,PUTR,Chaparral,2012
49.9,49.1,PUTR,Chaparral,2012
48.8,48.6,PUTR,Chaparral,2012
48.5,47.3,PUTR,Chaparral,2012
48.2,47.8,PUTR,Chaparral,2012
47.2,42.3,ARPA,Chaparral,2012
46.5,46.2,PUTR,Chaparral,2012
45.3,44.7,PUTR,Chaparral,2012
44.6,43.6,ARPA,Chaparral,2012
43.8,41.1,CEVE,Chaparral,2012
43.2,42.3,PUTR,Chaparral,2012
41.7,40.1,PUTR,Chaparral,2012
41.7,40.7,ARPA,Chaparral,2012
41.3,41,ARPA,Chaparral,2012
41.1,40.7,CEPR,Chaparral,2012
40,39.3,PUTR,Chaparral,2012
39.9,33,ARPA,Chaparral,2012
39.6,37.5,ARPA,Chaparral,2012
39.3,38,CEVE,Chaparral,2012
39.3,38.7,PUTR,Chaparral,2012
38.3,37.9,PUTR,Chaparral,2012
37.2,36.4,CEPR,Chaparral,2012
34.9,34.5,CEVE,Chaparral,2012
34.9,34.7,PUTR,Chaparral,2012
33.5,32.9,ARPA,Chaparral,2012
33.2,32.8,PUTR,Chaparral,2012
33.1,32.5,CEVE,Chaparral,2012
31,29.9,PUTR,Chaparral,2012
30.6,30.3,CEVE,Chaparral,2012
30.5,29.1,ARPA,Chaparral,2012
29.1,28.1,CEVE,Chaparral,2012
28.1,26,ARPA,Chaparral,2012
27,25.9,ARPA,Chaparral,2012
26,24.7,PUTR,Chaparral,2012
25.5,25.3,PUTR,Chaparral,2012
24.4,20.7,ARPA,Chaparral,2012
23.7,21.6,ARPA,Chaparral,2012
21,20.2,PUTR,Chaparral,2012
20.6,16.6,ARPA,Chaparral,2012
19.8,18.7,PUTR,Chaparral,2012
19.5,18.6,ARPA,Chaparral,2012
18.8,18.1,CEVE,Chaparral,2012
18.8,17.5,PUTR,Chaparral,2012
17.7,16.4,ARPA,Chaparral,2012
17.5,15,PUTR,Chaparral,2012
16.3,15.8,PUTR,Chaparral,2012
15.7,11.5,ARPA,Chaparral,2012
14.9,14,PUTR,Chaparral,2012
13.4,9.6,ARPA,Chaparral,2012
11.1,10.7,PUTR,Chaparral,2012
10.7,10.5,PUTR,Chaparral,2012
10.2,6.5,ARPA,Chaparral,2012
9.5,9,PREM,Chaparral,2012
8.9,8.5,CEVE,Chaparral,2012
8.3,8,ARPA,Chaparral,2012
7.7,6.3,CEVE,Chaparral,2012
6.7,5.9,PUTR,Chaparral,2012
6.4,5,ARPA,Chaparral,2012
5.7,5.1,PUTR,Chaparral,2012
5.2,3.7,ARPA,Chaparral,2012
5.1,4.6,CEVE,Chaparral,2012
4.6,4,PUTR,Chaparral,2012
3.1,2.1,PUTR,Chaparral,2012
2.8,0.7,ARPA,Chaparral,2012
1,0.7,PREM,Chaparral,2012
100,99,ARPA,Manzanita,2012
99.8,98.8,PUTR,Manzanita,2012
92.8,90.9,PIJE,Manzanita,2012
92.1,83.7,ARPA ,Manzanita,2012
81.6,73.2,PIJE,Manzanita,2012
80.8,79.9,PUTR,Manzanita,2012
78.6,77.7,PUTR,Manzanita,2012
71.2,70.7,PUTR,Manzanita,2012
70.4,70.2,PUTR,Manzanita,2012
68.8,66.1,ARPA ,Manzanita,2012
68,67.2,PIJE,Manzanita,2012
66,65.8,PUTR,Manzanita,2012
59.1,57.9,PUTR,Manzanita,2012
55.9,53.9,PUTR,Manzanita,2012
46.7,45.7,PUTR,Manzanita,2012
37.4,37.1,PUTR,Manzanita,2012
36.9,33.3,ARPA ,Manzanita,2012
36.2,30.5,PIJE,Manzanita,2012
33,31.7,PUTR,Manzanita,2012
25.7,25.4,PUTE,Manzanita,2012
25.1,19.9,PIJE,Manzanita,2012
23,22.5,PUTR,Manzanita,2012
15.3,15.1,ARPA,Manzanita,2012
12.9,10.8,ARPA ,Manzanita,2012
4.5,3.8,PUTR,Manzanita,2012
98.9,98.7,WYMO,End,2012
96.6,46,WYMO,End,2012
96,59,PIJE,End,2012
94.6,92.9,ABCO,End,2012
