year,species,plot,cover
2012,grass,1,0.03
2012,grass,2,0.01
2012,grass,3,0.01
2012,grass,4,0.01
2012,grass,5,0.01
2012,grass,6,0.01
2012,grass,7,0.03
2012,grass,8,0
2012,grass,9,0.02
2012,grass,10,0
2012,putr,1,0.44
2012,putr,2,0.41
2012,putr,3,0.38
2012,putr,4,0.37
2012,putr,5,0.42
2012,putr,6,0.45
2012,putr,7,0.45
2012,putr,8,0.38
2012,putr,9,0.35
2012,putr,10,0.35
2012,phdi,1,0.1
2012,phdi,2,0.01
2012,phdi,3,0.07
2012,phdi,4,0.03
2012,phdi,5,0.04
2012,phdi,6,0.07
2012,phdi,7,0.09
2012,phdi,8,0.08
2012,phdi,9,0.09
2012,phdi,10,0.02
2012,chse,1,0.22
2012,chse,2,0.23
2012,chse,3,0.21
2012,chse,4,0.2
2012,chse,5,0.21
2012,chse,6,0.23
2012,chse,7,0.25
2012,chse,8,0.21
2012,chse,9,0.25
2012,chse,10,0.2
2013,grass,1,0.09
2013,grass,2,0.1
2013,grass,3,0.1
2013,grass,4,0.08
2013,grass,5,0.1
2013,grass,6,0.07
2013,grass,7,0.07
2013,grass,8,0.08
2013,grass,9,0.08
2013,grass,10,0.07
2013,putr,1,0.25
2013,putr,2,0.21
2013,putr,3,0.25
2013,putr,4,0.23
2013,putr,5,0.22
2013,putr,6,0.23
2013,putr,7,0.2
2013,putr,8,0.24
2013,putr,9,0.24
2013,putr,10,0.25
2013,phdi,1,0.15
2013,phdi,2,0.15
2013,phdi,3,0.16
2013,phdi,4,0.17
2013,phdi,5,0.16
2013,phdi,6,0.17
2013,phdi,7,0.15
2013,phdi,8,0.17
2013,phdi,9,0.16
2013,phdi,10,0.17
2013,chse,1,0.21
2013,chse,2,0.25
2013,chse,3,0.25
2013,chse,4,0.21
2013,chse,5,0.22
2013,chse,6,0.2
2013,chse,7,0.22
2013,chse,8,0.21
2013,chse,9,0.2
2013,chse,10,0.22
